after,before,branch,component,dataset,delta,eval_where,grad_norm_preclip,scene,state,update_input
0.07923692464828491,0.08598043769598007,base,rkd_sh_d,scannetpp,-0.00674351304769516,after_on_input,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
0.0919484943151474,0.11473047733306885,base,rkd_sh_a,scannetpp,-0.022781983017921448,after_on_input,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
2.5709703095344594e-06,0.0032981738913804293,base,couple,scannetpp,-0.003295602921070895,after_on_input,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
1.4195406436920166,1.383392095565796,base,rel_rot,scannetpp,0.0361485481262207,after_on_input,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
0.855852484703064,0.9134129285812378,base,rel_tdir,scannetpp,-0.05756044387817383,after_on_input,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
0.152323380112648,0.15434125065803528,base,maskdistill,scannetpp,-0.002017870545387268,after_on_probe0_clean,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
0.01938173919916153,0.01927369087934494,base,rkd_sh_d,scannetpp,0.00010804831981658936,after_on_probe0_clean,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
0.04002037271857262,0.041116341948509216,base,rkd_sh_a,scannetpp,-0.0010959692299365997,after_on_probe0_clean,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
0.004557174630463123,0.0053019290789961815,base,couple,scannetpp,-0.0007447544485330582,after_on_probe0_clean,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
0.14731465280056,0.14856281876564026,base,rel_rot,scannetpp,-0.0012481659650802612,after_on_probe0_clean,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
0.07873179763555527,0.08458217978477478,base,rel_tdir,scannetpp,-0.005850382149219513,after_on_probe0_clean,3.3515207767486572,09c1414f1b,theta_rel,probe0/m0
0.36123520135879517,0.3652417063713074,base+R,maskdistill,scannetpp,-0.004006505012512207,after_on_input,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.08397214859724045,0.08598043769598007,base+R,rkd_sh_d,scannetpp,-0.002008289098739624,after_on_input,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.10663094371557236,0.11473047733306885,base+R,rkd_sh_a,scannetpp,-0.00809953361749649,after_on_input,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.00016603025142103434,0.0032981738913804293,base+R,couple,scannetpp,-0.003132143639959395,after_on_input,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
1.2539730072021484,1.383392095565796,base+R,rel_rot,scannetpp,-0.12941908836364746,after_on_input,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.8935062289237976,0.9134129285812378,base+R,rel_tdir,scannetpp,-0.019906699657440186,after_on_input,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.15162676572799683,0.15434125065803528,base+R,maskdistill,scannetpp,-0.002714484930038452,after_on_probe0_clean,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.019718341529369354,0.01927369087934494,base+R,rkd_sh_d,scannetpp,0.00044465065002441406,after_on_probe0_clean,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.04014625772833824,0.041116341948509216,base+R,rkd_sh_a,scannetpp,-0.0009700842201709747,after_on_probe0_clean,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.00387331354431808,0.0053019290789961815,base+R,couple,scannetpp,-0.0014286155346781015,after_on_probe0_clean,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.14485204219818115,0.14856281876564026,base+R,rel_rot,scannetpp,-0.0037107765674591064,after_on_probe0_clean,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.07820989191532135,0.08458217978477478,base+R,rel_tdir,scannetpp,-0.00637228786945343,after_on_probe0_clean,8.505209922790527,09c1414f1b,theta_rel,probe0/m0
0.3611457943916321,0.3652417063713074,base+t,maskdistill,scannetpp,-0.004095911979675293,after_on_input,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
0.07642970979213715,0.08598043769598007,base+t,rkd_sh_d,scannetpp,-0.009550727903842926,after_on_input,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
0.08511818945407867,0.11473047733306885,base+t,rkd_sh_a,scannetpp,-0.029612287878990173,after_on_input,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
9.050322842085734e-05,0.0032981738913804293,base+t,couple,scannetpp,-0.003207670662959572,after_on_input,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
1.4610917568206787,1.383392095565796,base+t,rel_rot,scannetpp,0.07769966125488281,after_on_input,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
0.8395092487335205,0.9134129285812378,base+t,rel_tdir,scannetpp,-0.07390367984771729,after_on_input,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
0.15315794944763184,0.15434125065803528,base+t,maskdistill,scannetpp,-0.0011833012104034424,after_on_probe0_clean,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
