cond,couple,dataset,frames,input,maskdistill,rel_rot,rel_tdir,rkd_sh_a,rkd_sh_d,scene,state
m3,1.7977905372390524e-05,7scenes,19+102+269+186+519+352+769+436,pair9,0.12003865838050842,0.0004656043602153659,2.358357232878916e-05,2.212019717262592e-05,3.817131437244825e-05,chess,theta_base
clean,0.00022935669403523207,7scenes,13+97+263+180+513+347+763+430,probe0,0.008236706256866455,0.0001484010717831552,2.7159851015312597e-05,4.5050313929095864e-05,9.04613989405334e-06,chess,theta_rel
m0,5.7540197303751484e-05,7scenes,13+97+263+180+513+347+763+430,probe0,0.12228197604417801,7.948518032208085e-05,2.2759040803066455e-05,5.7606430345913395e-06,8.404500476899557e-06,chess,theta_rel
m1,9.892031812341884e-05,7scenes,13+97+263+180+513+347+763+430,probe0,0.12009481340646744,4.0056103898677975e-05,2.3931264877319336e-05,1.7940452380571514e-05,1.2749176676152274e-05,chess,theta_rel
m2,0.00026236873236484826,7scenes,13+97+263+180+513+347+763+430,probe0,0.1230747327208519,6.489688530564308e-05,2.5471052140346728e-05,2.6080491807078943e-05,2.0242358004907146e-05,chess,theta_rel
m3,1.6477551980642602e-05,7scenes,13+97+263+180+513+347+763+430,probe0,0.12086290866136551,0.00015165741206146777,7.724761962890625e-05,8.244914351962507e-05,1.6651185433147475e-05,chess,theta_rel
clean,0.00010566764103714377,7scenes,46+129+296+213+546+379+796+463,probe1,0.007764935027807951,7.916094182292e-05,4.985928535461426e-05,1.1614878530963324e-05,4.134420123591553e-06,chess,theta_rel
m0,6.194975412654458e-06,7scenes,46+129+296+213+546+379+796+463,probe1,0.12148859351873398,0.00046958669554442167,5.6097906053764746e-05,3.086074138991535e-05,3.356941306265071e-05,chess,theta_rel
m1,1.2501089258876164e-05,7scenes,46+129+296+213+546+379+796+463,probe1,0.1244993656873703,0.00014976745296735317,8.456905925413594e-05,6.549428508151323e-05,7.388423455267912e-06,chess,theta_rel
m2,2.3959582904353738e-05,7scenes,46+129+296+213+546+379+796+463,probe1,0.11984430253505707,9.55219948082231e-05,1.1553367585293017e-05,1.9085673557128757e-05,5.315893758961465e-06,chess,theta_rel
m3,3.8789096379332477e-07,7scenes,46+129+296+213+546+379+796+463,probe1,0.12027191370725632,0.0001025267702061683,0.0001236101088579744,1.1030897439923137e-05,1.1611159607127775e-06,chess,theta_rel
