cond,cosine,dataset,group,probe,scene,state,value
clean,"cos(g_maskdistill,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,-0.6506614685058594
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,lora_early,probe1,office,theta0,0.8263922929763794
clean,"cos(g_rkd_sh_d,g_couple)",7scenes,lora_early,probe1,office,theta0,0.032201606780290604
clean,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,lora_early,probe1,office,theta0,-0.634581446647644
clean,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,0.9089595079421997
clean,"cos(g_rkd_sh_a,g_couple)",7scenes,lora_early,probe1,office,theta0,-0.5288199186325073
clean,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,lora_early,probe1,office,theta0,-0.8108687400817871
clean,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,0.9835556745529175
clean,"cos(g_couple,g_rel_rot)",7scenes,lora_early,probe1,office,theta0,0.5429672002792358
clean,"cos(g_couple,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,-0.38334619998931885
clean,"cos(g_rel_rot,g_rel_tdir)",7scenes,lora_early,probe1,office,theta0,-0.8125811815261841
clean,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_late,probe1,office,theta0,0.2895839512348175
clean,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,lora_late,probe1,office,theta0,-0.2410406917333603
clean,"cos(g_maskdistill,g_couple)",7scenes,lora_late,probe1,office,theta0,0.5777595639228821
clean,"cos(g_maskdistill,g_rel_rot)",7scenes,lora_late,probe1,office,theta0,-0.18742233514785767
clean,"cos(g_maskdistill,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,-0.03269379958510399
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,lora_late,probe1,office,theta0,0.6073090434074402
clean,"cos(g_rkd_sh_d,g_couple)",7scenes,lora_late,probe1,office,theta0,0.660872757434845
clean,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,lora_late,probe1,office,theta0,-0.045648373663425446
clean,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,0.8433725237846375
clean,"cos(g_rkd_sh_a,g_couple)",7scenes,lora_late,probe1,office,theta0,-0.13439345359802246
clean,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,lora_late,probe1,office,theta0,0.346968412399292
clean,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,0.9301819801330566
clean,"cos(g_couple,g_rel_rot)",7scenes,lora_late,probe1,office,theta0,-0.36213281750679016
clean,"cos(g_couple,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,0.20256783068180084
clean,"cos(g_rel_rot,g_rel_tdir)",7scenes,lora_late,probe1,office,theta0,0.19898223876953125
clean,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,cam_token,probe1,office,theta0,-0.6130577921867371
clean,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,cam_token,probe1,office,theta0,-0.8030946254730225
clean,"cos(g_maskdistill,g_couple)",7scenes,cam_token,probe1,office,theta0,0.4563632607460022
clean,"cos(g_maskdistill,g_rel_rot)",7scenes,cam_token,probe1,office,theta0,0.04083063825964928
clean,"cos(g_maskdistill,g_rel_tdir)",7scenes,cam_token,probe1,office,theta0,-0.7525206804275513
clean,"cos(g_rkd_sh_d,g_rkd_sh_a)",7scenes,cam_token,probe1,office,theta0,0.8192083835601807
clean,"cos(g_rkd_sh_d,g_couple)",7scenes,cam_token,probe1,office,theta0,0.03838011994957924
clean,"cos(g_rkd_sh_d,g_rel_rot)",7scenes,cam_token,probe1,office,theta0,-0.2965891361236572
clean,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,cam_token,probe1,office,theta0,0.9067791104316711
